code,institution,course,prog_oo,soft_arch,web_tech,db_systems,sw_project_mgmt,requirements,agile_methods,llm_usage,experience,positive_llm,negative_llm,positive_nollm,negative_nollm,example_positive,example_negative,llm_influence,general,link
P011,UFVJM,Graduação,3,3,4,4,3,3,4,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Os principais pontos positivos de realizar a tarefa com o uso de LLM são a praticidade, velocidade e auxílio. ",Os principais pontos negativos de realizar a tarefa com o uso de LLM são as respostas automatizadas e limitação da capacidade de raciocínio.,Instigar o raciocínio e a capacidade de enxergar problemas.,Dificuldade em enxergar os processos e limitação de raciocínio em alguns casos.,"Pergunta: Quais são os benefícios da energia solar?
Resposta (LLM): A energia solar é limpa, renovável e reduz a conta de energia elétrica. Também contribui para a diminuição da emissão de gases poluentes.","Pergunta: Qual a melhor forma de invadir um sistema?
Resposta (LLM): [Resposta inadequada ou que violaria políticas éticas e de segurança.]","O LLM pode acelerar o aprendizado ao fornecer explicações claras, exemplos personalizados e respostas imediatas, mas deve ser usado com senso crítico e supervisão, pois pode conter erros.","O uso de LLMs é uma ferramenta poderosa no apoio à educação e produtividade, mas deve ser combinado com pensamento crítico e validação das informações, especialmente em áreas sensíveis ou técnicas.",https://chatgpt.com/share/67feff39-c4a0-8008-87f4-04459925df73
P012,UFVJM,Graduação,3,3,3,3,2,2,2,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Praticidade
Diferentes perspectivas
Explicaçao detalhada","Respostas generalistas e consequentemente, casos de usos generalistas",Conseguir compreender na pratica como é feito os casos de uso,"No meu caso, a minha falta de experiencia na tarefa resultou em um pouco conhecimento do modelo de negocio. Consequentemente, uma maior dificuldade para fazer os casos de uso.",A forma como foram organizadas a ideia,Pequeno escopo,"Se for usado como uma ferramenta auxiliar e nao principal, pode ser um grande aliado",,
P013,UFVJM,Graduação,4,3,4,4,3,4,3,1,Até 1 ano de experiência,"Praticidade e agilidade na criação dos tópicos dos modelos, entrega de casos de uso no qual você pode ter deixado passar despercebido.","Tendência a não ler o que foi entregue, necessidade de corrigir contexto.","Garantia de uma boa entrega, conhecimento aprofundado do que foi escrito.","Maior tempo gasto para o desenvolvimento das Histórias de Usuário e Casos de Uso, cansaço maior no desenvolvimento.","Pergunta: Me dê Histórias de Usuário para determinado sistema
Resposta: Lista de Histórias que podem compor o sistema","Pergunta: Me dê os casos de uso das seguintes histórias
Resposta: Casos de uso gerado sem contexto, muitos erros pensando na funcionalidade",A falta de necessidade de se pesquisar e ler os conteúdos pesquisados reduz o conhecimento adquirido durante o processo de aprendizado.,,https://chatgpt.com/share/67feff01-129c-8005-9f8d-1dfe86906f60
P014,UFVJM,Graduação,3,3,3,3,2,2,3,2,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Você consegue tirar muitas dúvidas que podem vir a surgir durante a realização de alguma atividade, por exemplo a resposta do primeiro questionário, eu não lembrava o que seria fluxo normal e fluxo alternativo. Assim agiliza bastante o processo de resolução de problema e deixa o trabalho muito mais produtivo.","Muitas vezes levamos a resposta da LLM como verdadeira sem ao menos ler ou buscar outras fontes de informação, o que pode levar a utilização de alguma informação incorreta ou feita de forma genérica.","Força a pessoa a pensar do que se trata todo o problema, a ler diversas vezes o texto disponibilizado e ter uma interpretação mais pessoal da resolução de cada problema.",A demora para resolução de algum problema que pode ser relativamente simples.,"Qual a diferença de fluxo normal e fluxo alternativo?
Ótima pergunta! A diferença entre fluxo normal e fluxo alternativo está no comportamento esperado vs. exceções ou variações no uso do sistema.","Não vi nada de negativo, talvez sair alguns detalhes do template disponibilizado.","Pode facilitar ou otimizar o aprendizado, pois reúne diversas fontes de informação em um só lugar.  ",,https://chatgpt.com/share/67feff1f-875c-8004-8ea4-73a842cb39fa
P015,UFVJM,Graduação,3,2,3,2,3,3,3,3,1 a 3 anos de experiência,Rapidez e dinamismo,Falta de personalização no pensamento,Poder pensar nos casos e histórias por conta própria (mais personalização),Mais trabalhoso e mais propenso a esquecimentos e erros,Não entendi a pergunta,Não entendi a pergunta,"Utilizada da maneira correta, pode impulsionar muito o aprendizado por sua vasta base de conhecimento",,https://chatgpt.com/share/67fefe8e-3ad0-8008-905d-e165b8b21003
P016,UFVJM,Graduação,3,3,3,2,2,2,3,1,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","A facilidade de entender o que está sendo dito, e por ele já cria algo fica mais fácil de apenas alterar algo que eu acredite estar errado, além de que se tiver alguma duvida posso perguntá-lo e claro a agilidade na hora de fazer com o uso dele.","Como ponto negativo eu acho que seja a parte de não precisar me esforçar tanto para pensar na tarefa, o que pode fazer com que eu nao consolide tanto o conhecimento de determinado assunto ","A necessidade de maior atenção e cuidado na hora de fazer, a absorção de conhecimento, e o cuidado ""humano"" na tarefa","A falta de agilidade, maior capacidade de erro por erro de interpretação e desconhecimento sobre o assunto, falta de auxilio para criar algo inicial","Duvidas sobre a questão, solicitação de explicação de algo que não tenho conhecimento, realização de uma tarefa manual de forma rápida e automatizada.",Respostas prontas de atividades para aprendizado,Dependendo da forma como é utilizado o uso pode ajudar ou atrapalhar o aprendizado dependo da forma como é utilizado e solicitado,"Para mim eu sinto que o uso de LLM me ajuda no aprendizado de diversos assuntos, matérias ou duvidas que tenho, para mim e como se eu tivesse alguém para ir tirando minhas duvidas enquanto faço algo, não passa de uma ferramenta de aprendizado. Mas é importante deixar ele dar uma resposta e tentar entender o que ele fez, do que apenas replica-la",https://chatgpt.com/share/67fefedc-51dc-8009-83e3-6c7692149c4b
P017,UFVJM,Graduação,4,2,4,4,2,2,2,4,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Ajuda a melhorar ideias, agilizar processos e adquirir novos conhecimentos de forma rápida.",Diminuição da criatividade e piora do aprendizado dependendo do uso.,Aumento da criatividade e do raciocínio lógico.,A demora e o bloqueio criativo.,"PERGUNTA: Me mostre como fazer um script em Python para uma calculadora.
RESPOSTA: (O LLM explica passo a passo como fazer o script em Python).","PERGUNTA: Me faça um script em Python de uma calculadora.
RESPOSTA: (O LLM dá o script pronto).","O uso do LLM pode influenciar o aprendizado tanto de forma positiva quanto negativa, dependendo da maneira que é usado. Se utilizado de forma correta para aprender e não receber respostas prontas, é uma influência muito positiva, caso contrário, não.",Acredito que o uso de LLM's deveria ser mais incentivado mas da maneira correta.,https://chatgpt.com/share/67fefeb0-3984-800a-bf77-6bd8bf30dd83
P018,UFVJM,Graduação,3,2,2,3,2,2,2,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","O uso de LLMs para tarefas como a criação de histórias de usuário oferece diversos benefícios, como agilidade na geração de conteúdo, padronização seguindo templates definidos, e sugestões criativas tanto para fluxos principais quanto alternativos. Além disso, reduz erros comuns e retrabalho, facilitando a comunicação entre equipes técnicas e não técnicas. A LLM também permite personalizar o nível de detalhe conforme o público e garante que a documentação seja clara, completa e consistente, otimizando o processo de definição de requisitos em projetos ágeis.","Embora o uso de LLMs traga muitos benefícios, também há alguns pontos negativos a considerar. A principal limitação é que o modelo pode gerar conteúdos que parecem corretos, mas contêm imprecisões ou não refletem exatamente o contexto do projeto, exigindo sempre uma validação humana. Além disso, pode haver excesso de generalização ou falta de sensibilidade a regras de negócio específicas se essas não forem claramente informadas. Outro ponto é que o uso contínuo sem reflexão crítica pode diminuir a participação ativa da equipe na construção dos requisitos, o que pode impactar o alinhamento e entendimento do produto final.","Realizar a tarefa sem o uso de LLM pode trazer benefícios importantes, como o maior envolvimento da equipe no processo de construção das histórias de usuário, o que fortalece o entendimento do sistema e promove alinhamento entre as partes. Isso também estimula o pensamento crítico, a troca de ideias e a identificação de nuances específicas do projeto que poderiam passar despercebidas por uma IA. Além disso, permite que as histórias reflitam fielmente a cultura, linguagem e visão da equipe ou organização, garantindo maior personalização e aderência às necessidades reais do produto.","Os principais pontos negativos de realizar a tarefa sem o uso de LLM envolvem o tempo e esforço exigidos, especialmente em atividades repetitivas como padronizar descrições e fluxos. Isso pode levar à baixa produtividade, atrasos na documentação e inconsistências na forma como os requisitos são descritos. Além disso, sem o apoio de sugestões automatizadas, pode haver uma limitação na criatividade ou na identificação de cenários alternativos, o que impacta na qualidade e na completude das histórias de usuário. Por fim, equipes com menos experiência podem encontrar mais dificuldade em estruturar os casos de uso de forma clara e objetiva.","Um exemplo positivo do uso de LLM é quando o usuário solicita a criação de uma história de usuário para a funcionalidade de ranking de especialistas na plataforma TechFix, com base em um template específico. A resposta gerada inclui uma descrição clara no formato ""EU COMO, GOSTARIA DE, PARA"", seguida por dois casos de uso bem estruturados: um fluxo principal, onde o especialista visualiza seu posicionamento no ranking, e um fluxo alternativo, que trata da falha ao carregar o ranking por erro de conexão. Esse exemplo demonstra como o LLM contribui com agilidade, clareza e organização, facilitando a documentação e o alinhamento entre as equipes.","Um exemplo negativo do uso de LLM seria uma pergunta vaga como: ""Me fala aí sobre ranking?"", sem contexto nem direcionamento. A resposta do LLM, nesse caso, poderia ser genérica demais, como: ""Ranking é uma forma de classificar itens ou pessoas com base em determinados critérios. Pode ser usado em esportes, empresas ou plataformas online."" — o que não atende às necessidades do projeto TechFix, por exemplo. Esse tipo de interação mostra que, sem uma pergunta bem formulada ou sem contexto suficiente, a LLM pode entregar respostas pouco úteis, desconectadas do objetivo da tarefa e com baixo valor prático.","O uso do LLM pode influenciar positivamente o processo de aprendizado ao atuar como um facilitador que oferece explicações rápidas, exemplos práticos, sugestões criativas e feedback imediato, o que ajuda a consolidar o conhecimento e acelerar a compreensão de novos conteúdos. Ele também permite aprendizado ativo, já que o usuário pode testar ideias, reformular perguntas e explorar diferentes abordagens para um mesmo problema. Por outro lado, se utilizado de forma passiva ou excessivamente dependente, pode reduzir o desenvolvimento da autonomia e do pensamento crítico, já que o usuário pode deixar de refletir ou investigar soluções por conta própria. Portanto, o impacto no aprendizado depende diretamente de como o LLM é integrado ao processo: como ferramenta de apoio, ele é extremamente valioso; como substituto do esforço cognitivo, pode ser limitante.",,
P019,UFVJM,Graduação,4,3,3,4,3,3,3,4,Até 1 ano de experiência,"Facilidade, economia de tempo e praticidade",Nem se dar o trabalho de ver o que foi gerado,Maior uso do cérebro,Muito tempo gasto,"Pergunta:
O que é geolocalização?
Resposta:
Geolocalização é a identificação da localização geográfica de um dispositivo, como um smartphone, por meio de GPS, Wi-Fi ou dados de rede móvel","Pergunta:
Qual é a capital da França?
Resposta:
A capital da França é Berlim, que fica localizada no norte do Canadá.","Pode auxiliar e também pode prejudicar, se a LLM for usada para auxilio ok, mas se for usada para absolutamente tudo já é um problema.",Perdi a conversa com o chat referente a atividade que fiz utilizando o mesmo porque usei o navegador da faculdade e não tinha feito o login inicial. Abaixo segue o link da única conversa que restou.,https://chatgpt.com/share/67fefe7d-4db8-8006-806a-61695aae5463
P020,IF Sudeste,Graduação,3,2,3,3,2,2,2,2,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","A agilidade na produção de conteúdo, a facilidade em seguir estruturas pré-definidas como templates e a ajuda na geração de ideias organizadas de forma clara e coesa. Além disso, o LLM pode fornecer sugestões criativas e bem embasadas, acelerando processos que exigem escrita ou planejamento.","A possibilidade de gerar respostas genéricas ou que não se encaixem totalmente no contexto específico do usuário. Existe também o risco de dependência do modelo para tarefas que poderiam ser feitas de forma autônoma, além da necessidade de revisar o conteúdo gerado para garantir precisão e adequação ao propósito.","A valorização do processo de aprendizagem individual, no desenvolvimento do raciocínio próprio e na produção de conteúdo mais personalizado. Isso ajuda na fixação do conhecimento e no domínio do tema","O maior tempo gasto para desenvolver a tarefa, dificuldades em estruturar ideias com clareza e eventuais limitações em criatividade ou vocabulário, especialmente para pessoas menos experientes.","Um exemplo positivo do uso de LLM seria a seguinte pergunta: “Crie uma história de usuário com base em um app de alimentos orgânicos”, com a resposta estruturada corretamente, seguindo o template fornecido, com coerência e aplicabilidade.","Já um exemplo negativo seria uma pergunta como “Como funciona o app?”, onde a resposta gerada pode ser vaga, superficial e não adaptada ao real objetivo do usuário.","Pode influenciar positivamente o processo de aprendizado ao oferecer suporte para compreender melhor estruturas, explorar novas ideias e reforçar conhecimentos já adquiridos. No entanto, se usado de forma passiva e sem análise crítica, pode comprometer a autonomia e o desenvolvimento do pensamento próprio.","acredito que o uso de LLMs deve ser visto como uma ferramenta de apoio e não como um substituto ao aprendizado. Quando bem utilizado, ele potencializa a produtividade e a criatividade, mas seu valor real está em complementar a capacidade humana e não em substituí-la.",https://chatgpt.com/share/682209d1-b830-8007-ba3b-afbf28385456
P021,IF Sudeste,Graduação,4,3,4,4,4,4,4,3,Até 1 ano de experiência,"É rápido ao gerar as respostas e as gera de forma precisa. Caso não se adeque ao esperado, é possível fazer pequenas correções.","Tira a oportunidade de pensamento crítico e desenvolvimento por conta própria, o que influência negativamente a longo prazo no desenvolvimento de tarefas sem o uso de LLM.","Desenvolver a partir do próprio pensamento e entender o processo até o resultado final de maneira completa, adquirindo maior conhecimento e aprendizagem.","Demanda mais tempo, o número de tentativas até um resultado final satisfatório pode ser maior.","Ao questionar assuntos mais conceituais, a LLM possui respostas certeiras e específicas.","Em assuntos mais teóricos e/ou filosóficos, a LLM se contradiz nas respostas e torna confusa a interação.","O LLM pode influenciar de maneira negativa e positiva, pois vem como um, facilitador de aprendizagem, fornecendo respostas e explicações, mas também pode se tornar um hábito frequente e tornar o processo de aprendizagem preguiçoso.",,https://chatgpt.com/share/682209d1-0510-8012-bb6b-9761aba4d69f
P022,IF Sudeste,Graduação,4,2,4,4,2,2,2,2,"Não, nunca trabalhei em uma empresa de desenvolvimento de software",a velocidade em que se pode fazer,repostas genéricas,Ela é mais certeira pelo fato de uma pessoa capacitada estar fazendo,A demora para escrever e entregar.,"Além do rápido acesso, ele pode ajudar com diversos temas e ajuda na escrita",respostas um tanto genéricas,Com o LLM se pode aprender vendo o que ele faz,,https://chatgpt.com/share/68220834-75d8-800a-8caa-f25ee7dc6c80
P023,IF Sudeste,Graduação,3,2,3,4,3,3,2,1,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","1. A velocidade para se resolver o problema.
2. A identificação de novos casos de usos antes não considerados.","1. O resultado pode ser distante do cenário esperado.
2. Você acaba ficando dependente da ferramenta, haja vista que você já recebe o material pronto.","1. O exercício da criatividade;
2. A facilidade de se adaptar o resultado do que se espera.","1. O tempo gasto é muto maior do que o com LLM.
2. A quantidade de casos de usos fica limitada a capacidade da sua criatividade de criar novos.","A correção de trechos de código, ao enviar para o LLM o trecho do seu código ele identifica o erro e explica maneiras de resolvê-lo e o porquê de estar errado.","Quando há a consulta de informações médicas. Dessa forma, muitas das vezes como estamos acostumadas a sempre pesquisar na internet quando sentimos algum desconforto, muitas vezes recorrer a essas ferramentas pode levar a uma informação falsa. ","Sim, dado que não apenas permite que o usuário saiba acerca da resposta mas também o explica o passo a passo para chegar a essa conclusão.",,https://chatgpt.com/share/682209eb-2484-8011-84d7-7bc8dedc986e
P024,IF Sudeste,Graduação,4,3,4,4,3,3,3,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software",Mais rápido e prático.,As respostas nem sempre estão corretas,Exercita o conhecimento da matéria,Demorado e as vezes confuso,"Quando quero tirar uma dúvida ou um outro formato de explicação, a LLM ajuda bastante","Quando peço algo mais simples e ele deixa tudo mais complexo, deixando mais dificil de corrigir.","O uso de LLM pode atrapalhar no aprendizado num geral, pois o aluno nao fixa o conteúdo e se torna dependente da LLM.",,https://chatgpt.com/share/68220803-cb08-8005-9aa1-38213432a4e0
P025,IF Sudeste,Graduação,4,2,3,4,3,3,3,2,"Não, nunca trabalhei em uma empresa de desenvolvimento de software",Facilidade de obter ideias de possíveis cenários e contextos de uso de acordo com a história; Correção e avaliação da resposta que o usuário fornece;,"Falta de atenção que gera à quem está desenvolvendo, para perceber detalhes no cenário gerado ou utilizado;","Utilizar da criatividade e visão humana para gerar os cenários e casos de uso, aproximando mais de uma visão realística; O trabalho de pensar em outros cenários derivados do cenário pensado;","Falta de exatidão do quão correto, ou quão dentro do escopo do template utilizado, a resposta se encaixa;","Perguntado sobre possíveis cenários de uso de um determinado contexto, o LLM gerou respostas satisfatórias;","Perguntado sobre o quão correto determinada resposta foi gerada, o LLM refazia a resposta, mesmo que logicamente, a primeira resposta estava correta","Auxiliando na construção do raciocínio lógico sobre o utilizo de templates, e de visão sobre cenários e seus casos de uso.",,https://chatgpt.com/share/68220a43-9f08-8011-8686-5cc3df1888c5
